"province","date_report","cases","cumulative_cases"
"Saskatchewan","05-02-2020",0,0
"Saskatchewan","06-02-2020",0,0
"Saskatchewan","07-02-2020",0,0
"Saskatchewan","08-02-2020",0,0
"Saskatchewan","09-02-2020",0,0
"Saskatchewan","10-02-2020",0,0
"Saskatchewan","11-02-2020",0,0
"Saskatchewan","12-02-2020",0,0
"Saskatchewan","13-02-2020",0,0
"Saskatchewan","14-02-2020",0,0
"Saskatchewan","15-02-2020",0,0
"Saskatchewan","16-02-2020",0,0
"Saskatchewan","17-02-2020",0,0
"Saskatchewan","18-02-2020",0,0
"Saskatchewan","19-02-2020",0,0
"Saskatchewan","20-02-2020",0,0
"Saskatchewan","21-02-2020",0,0
"Saskatchewan","22-02-2020",0,0
"Saskatchewan","23-02-2020",0,0
"Saskatchewan","24-02-2020",0,0
"Saskatchewan","25-02-2020",0,0
"Saskatchewan","26-02-2020",0,0
"Saskatchewan","27-02-2020",0,0
"Saskatchewan","28-02-2020",0,0
"Saskatchewan","29-02-2020",0,0
"Saskatchewan","01-03-2020",0,0
"Saskatchewan","02-03-2020",0,0
"Saskatchewan","03-03-2020",0,0
"Saskatchewan","04-03-2020",0,0
"Saskatchewan","05-03-2020",0,0
"Saskatchewan","06-03-2020",0,0
"Saskatchewan","07-03-2020",0,0
"Saskatchewan","08-03-2020",0,0
"Saskatchewan","09-03-2020",0,0
"Saskatchewan","10-03-2020",0,0
"Saskatchewan","11-03-2020",0,0
"Saskatchewan","12-03-2020",1,1
"Saskatchewan","13-03-2020",1,2
"Saskatchewan","14-03-2020",4,6
"Saskatchewan","15-03-2020",0,6
"Saskatchewan","16-03-2020",1,7
"Saskatchewan","17-03-2020",1,8
"Saskatchewan","18-03-2020",8,16
"Saskatchewan","19-03-2020",4,20
"Saskatchewan","20-03-2020",6,26
"Saskatchewan","21-03-2020",18,44
"Saskatchewan","22-03-2020",8,52
"Saskatchewan","23-03-2020",14,66
"Saskatchewan","24-03-2020",6,72
"Saskatchewan","25-03-2020",14,86
"Saskatchewan","26-03-2020",9,95
"Saskatchewan","27-03-2020",9,104
"Saskatchewan","28-03-2020",30,134
"Saskatchewan","29-03-2020",22,156
"Saskatchewan","30-03-2020",20,176
"Saskatchewan","31-03-2020",8,184
"Saskatchewan","01-04-2020",9,193
"Saskatchewan","02-04-2020",13,206
"Saskatchewan","03-04-2020",14,220
"Saskatchewan","04-04-2020",11,231
"Saskatchewan","05-04-2020",18,249
"Saskatchewan","06-04-2020",4,253
"Saskatchewan","07-04-2020",7,260
"Saskatchewan","08-04-2020",11,271
"Saskatchewan","09-04-2020",7,278
"Saskatchewan","10-04-2020",7,285
"Saskatchewan","11-04-2020",4,289
"Saskatchewan","12-04-2020",9,298
"Saskatchewan","13-04-2020",2,300
"Saskatchewan","14-04-2020",1,301
"Saskatchewan","15-04-2020",3,304
"Saskatchewan","16-04-2020",1,305
"Saskatchewan","17-04-2020",2,307
"Saskatchewan","18-04-2020",6,313
"Saskatchewan","19-04-2020",2,315
"Saskatchewan","20-04-2020",1,316
"Saskatchewan","21-04-2020",4,320
"Saskatchewan","22-04-2020",6,326
"Saskatchewan","23-04-2020",5,331
"Saskatchewan","24-04-2020",10,341
"Saskatchewan","25-04-2020",8,349
"Saskatchewan","26-04-2020",4,353
"Saskatchewan","27-04-2020",12,365
"Saskatchewan","28-04-2020",1,366
"Saskatchewan","29-04-2020",17,383
"Saskatchewan","30-04-2020",6,389
"Saskatchewan","01-05-2020",26,415
"Saskatchewan","02-05-2020",6,421
"Saskatchewan","03-05-2020",12,433
"Saskatchewan","04-05-2020",34,467
"Saskatchewan","05-05-2020",20,487
"Saskatchewan","06-05-2020",25,512
"Saskatchewan","07-05-2020",19,531
"Saskatchewan","08-05-2020",13,544
"Saskatchewan","09-05-2020",9,553
"Saskatchewan","10-05-2020",11,564
"Saskatchewan","11-05-2020",4,568
"Saskatchewan","12-05-2020",5,573
"Saskatchewan","13-05-2020",4,577
"Saskatchewan","14-05-2020",5,582
"Saskatchewan","15-05-2020",8,590
"Saskatchewan","16-05-2020",1,591
"Saskatchewan","17-05-2020",1,592
"Saskatchewan","18-05-2020",0,592
"Saskatchewan","19-05-2020",7,599
"Saskatchewan","20-05-2020",21,620
"Saskatchewan","21-05-2020",2,622
"Saskatchewan","22-05-2020",5,627
"Saskatchewan","23-05-2020",3,630
"Saskatchewan","24-05-2020",2,632
"Saskatchewan","25-05-2020",2,634
"Saskatchewan","26-05-2020",0,634
"Saskatchewan","27-05-2020",2,636
"Saskatchewan","28-05-2020",2,638
"Saskatchewan","29-05-2020",2,640
"Saskatchewan","30-05-2020",4,644
"Saskatchewan","31-05-2020",1,645
"Saskatchewan","01-06-2020",1,646
"Saskatchewan","02-06-2020",0,646
"Saskatchewan","03-06-2020",1,647
"Saskatchewan","04-06-2020",1,648
"Saskatchewan","05-06-2020",1,649
"Yukon","25-01-2020",0,0
"Yukon","26-01-2020",0,0
"Yukon","27-01-2020",0,0
"Yukon","28-01-2020",0,0
"Yukon","29-01-2020",0,0
"Yukon","30-01-2020",0,0
"Yukon","31-01-2020",0,0
"Yukon","01-02-2020",0,0
"Yukon","02-02-2020",0,0
"Yukon","03-02-2020",0,0
"Yukon","04-02-2020",0,0
"Yukon","05-02-2020",0,0
"Yukon","06-02-2020",0,0
"Yukon","07-02-2020",0,0
"Yukon","08-02-2020",0,0
"Yukon","09-02-2020",0,0
"Yukon","10-02-2020",0,0
"Yukon","11-02-2020",0,0
"Yukon","12-02-2020",0,0
"Yukon","13-02-2020",0,0
"Yukon","14-02-2020",0,0
"Yukon","15-02-2020",0,0
"Yukon","16-02-2020",0,0
"Yukon","17-02-2020",0,0
"Yukon","18-02-2020",0,0
"Yukon","19-02-2020",0,0
"Yukon","20-02-2020",0,0
"Yukon","21-02-2020",0,0
"Yukon","22-02-2020",0,0
"Yukon","23-02-2020",0,0
"Yukon","24-02-2020",0,0
"Yukon","25-02-2020",0,0
"Yukon","26-02-2020",0,0
"Yukon","27-02-2020",0,0
"Yukon","28-02-2020",0,0
"Yukon","29-02-2020",0,0
"Yukon","01-03-2020",0,0
"Yukon","02-03-2020",0,0
"Yukon","03-03-2020",0,0
"Yukon","04-03-2020",0,0
"Yukon","05-03-2020",0,0
"Yukon","06-03-2020",0,0
"Yukon","07-03-2020",0,0
"Yukon","08-03-2020",0,0
"Yukon","09-03-2020",0,0
"Yukon","10-03-2020",0,0
"Yukon","11-03-2020",0,0
"Yukon","12-03-2020",0,0
"Yukon","13-03-2020",0,0
"Yukon","14-03-2020",0,0
"Yukon","15-03-2020",0,0
"Yukon","16-03-2020",0,0
"Yukon","17-03-2020",0,0
"Yukon","18-03-2020",0,0
"Yukon","19-03-2020",0,0
"Yukon","20-03-2020",0,0
"Yukon","21-03-2020",0,0
"Yukon","22-03-2020",2,2
"Yukon","23-03-2020",0,2
"Yukon","24-03-2020",0,2
"Yukon","25-03-2020",1,3
"Yukon","26-03-2020",0,3
"Yukon","27-03-2020",1,4
"Yukon","28-03-2020",0,4
"Yukon","29-03-2020",0,4
"Yukon","30-03-2020",1,5
"Yukon","31-03-2020",0,5
"Yukon","01-04-2020",1,6
"Yukon","02-04-2020",0,6
"Yukon","03-04-2020",0,6
"Yukon","04-04-2020",0,6
"Yukon","05-04-2020",0,6
"Yukon","06-04-2020",1,7
"Yukon","07-04-2020",0,7
"Yukon","08-04-2020",1,8
"Yukon","09-04-2020",0,8
"Yukon","10-04-2020",0,8
"Yukon","11-04-2020",0,8
"Yukon","12-04-2020",0,8
"Yukon","13-04-2020",0,8
"Yukon","14-04-2020",0,8
"Yukon","15-04-2020",0,8
"Yukon","16-04-2020",0,8
"Yukon","17-04-2020",1,9
"Yukon","18-04-2020",0,9
"Yukon","19-04-2020",0,9
"Yukon","20-04-2020",2,11
"Yukon","21-04-2020",0,11
"Yukon","22-04-2020",0,11
"Yukon","23-04-2020",0,11
"Yukon","24-04-2020",0,11
"Yukon","25-04-2020",0,11
"Yukon","26-04-2020",0,11
"Yukon","27-04-2020",0,11
"Yukon","28-04-2020",0,11
"Yukon","29-04-2020",0,11
"Yukon","30-04-2020",0,11
"Yukon","01-05-2020",0,11
"Yukon","02-05-2020",0,11
"Yukon","03-05-2020",0,11
"Yukon","04-05-2020",0,11
"Yukon","05-05-2020",0,11
"Yukon","06-05-2020",0,11
"Yukon","07-05-2020",0,11
"Yukon","08-05-2020",0,11
"Yukon","09-05-2020",0,11
"Yukon","10-05-2020",0,11
"Yukon","11-05-2020",0,11
"Yukon","12-05-2020",0,11
"Yukon","13-05-2020",0,11
"Yukon","14-05-2020",0,11
"Yukon","15-05-2020",0,11
"Yukon","16-05-2020",0,11
"Yukon","17-05-2020",0,11
"Yukon","18-05-2020",0,11
"Yukon","19-05-2020",0,11
"Yukon","20-05-2020",0,11
"Yukon","21-05-2020",0,11
"Yukon","22-05-2020",0,11
"Yukon","23-05-2020",0,11
"Yukon","24-05-2020",0,11
"Yukon","25-05-2020",0,11
"Yukon","26-05-2020",0,11
"Yukon","27-05-2020",0,11
"Yukon","28-05-2020",0,11
"Yukon","29-05-2020",0,11
"Yukon","30-05-2020",0,11
"Yukon","31-05-2020",0,11
"Yukon","01-06-2020",0,11
"Yukon","02-06-2020",0,11
"Yukon","03-06-2020",0,11
"Yukon","04-06-2020",0,11
"Yukon","05-06-2020",0,11
